cust_id,gender,age_group,age,nationality,segment,duration,city,district,owns_house,owns_car,marital_status,no_of_kids,profession,profession_subclass,uses_branch,uses_CDM,uses_credit_card,uses_debit_card,uses_ATM,uses_mobile_and_online_banking,income,credit_score,no_of_branch_txn,no_of_cdm_txn,no_of_atm_txn,no_of_cc_txn,no_of_dc_txn,no_of_online_txn,max_txn_cat1,max_txn_cat2,max_txn_cat3,no_of_txn_cat1,no_of_txn_cat2,no_of_txn_cat3,amt_spent_cat1,amt_spent_cat2,amt_spent_cat3,total_no_of_txn,amt_in_sav_acc,max_amt_in_sav_acc,amt_in_curr_acc,max_amt_in_curr_acc,no_of_debits_sav_acc,no_of_debits_curr_acc,no_of_yearly_txn,credit_cards,loans,insurance,accounts_and_deposits
C10012,Female,40-49,40,Ugandan,Silver,9,Kasese,Kasese,0,1,Married,3,Lawyer,Corporate,0,0,1,0,1,1,1103634,758,1,2,15,15,2,30,Home,Utilities,Bills,21,12,9,86557,52716,35731,65,194182,431271,121374,375884,10,10,6,"['Best Price Save Smart Credit Card', 'Freedom Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card']","['car loan', 'health loan']","['medical insurance', 'health insurance']","['salary account', 'term account', 'securities account']"
C10013,Male,30-39,32,Ugandan,Silver,1,Mbale,Mbale,0,0,Divorced,2,Lawyer,Clerkship,1,0,1,1,1,0,1049313,537,15,2,9,24,24,1,Utilities,Home,Groceries,21,15,12,65303,63299,54907,75,403140,413036,382389,699089,6,18,8,"['Freedom Credit Card', 'EasyEMI Card', 'MoneyBack Credit Card', 'Best Price Save Smart Credit Card', 'All Miles Credit Card']","['construction loan', 'car loan']","['maternity insurance', 'health insurance']",['savings account']
C10014,Male,<20,19,Ugandan,Silver,9,Mbarara,Mbarara,0,0,Single,0,Lawyer,Law Student,1,0,1,0,0,0,47874,635,15,2,1,12,2,3,Train,Dining,Domestic Airlines,15,15,6,47526,23042,10801,35,12335,324828,32301,104202,2,9,3,"['Best Price Save Smart Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card']","['student loan', 'education loan']",['education insurance'],['term account']
C10015,Female,20-29,25,Ugandan,Silver,10,Kampala,Kampala,1,0,Married,2,Lawyer,Clerkship,0,0,0,1,1,0,1594609,601,2,3,18,2,21,2,Dining,Travel,Gym,18,12,9,78190,48413,48363,48,125928,148045,625430,660176,3,13,4,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card', 'MoneyBack Credit Card', 'Best Price Save Smart Credit Card']","['furniture loan', 'education loan', 'car loan']","['travel insurance', 'device cover insurance']","['salary account', 'term account']"
C10016,Female,30-39,37,Ugandan,Silver,9,Kasese,Kasese,1,0,Divorced,2,Lawyer,Advocate of High Court,1,0,0,0,1,0,1006317,809,9,2,9,2,1,2,Travel,Utilities,Home,24,12,6,59158,30698,20903,25,287679,366924,387562,478773,10,19,2,"['Best Price Save Smart Credit Card', 'Freedom Credit Card', 'Best Price Save Max Credit Card']","['construction loan', 'car loan', 'furniture loan']","['travel insurance', 'maternity insurance']","['term account', 'salary account', 'securities account']"
C10017,Male,>60,89,Ugandan,Silver,3,Mityana,Mityana,1,0,Divorced,0,Lawyer,C-Level Executive,0,0,0,0,0,1,1242977,765,1,1,1,2,1,30,Utilities,Golf,Groceries,21,15,12,60426,59856,41167,36,258288,363493,384651,842276,6,10,3,"['All Miles Credit Card', 'Best Price Save Max Credit Card', 'MoneyBack Credit Card', 'EasyEMI Card']","['home loan', 'health loan']","['medical insurance', 'retirement insurance']","['savings account', 'fixed deposit']"
C10018,Male,50-59,55,Ugandan,Silver,3,Mubende,Mubende,1,1,Divorced,3,Lawyer,Senior Legal Advisor,0,0,1,0,1,0,1228981,773,2,1,27,9,1,3,Entertainment,Home,Dining,24,18,15,51130,51003,33573,43,452440,497172,614655,631924,10,19,4,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card', 'All Miles Credit Card']","['home loan', 'health loan']","['travel insurance', 'senior health insurance', 'retirement insurance']","['savings account', 'term account', 'fixed deposit']"
C10019,Female,>60,65,Ugandan,Silver,9,Jinja,Jinja,1,1,Married,1,Lawyer,Corporate,0,0,1,0,0,1,2308068,615,3,1,2,30,3,18,Domestic Airlines,Dining,Home,24,9,9,77081,36706,26051,57,203717,376371,632692,690495,10,11,5,"['Best Price Save Max Credit Card', 'EasyEMI Card', 'MoneyBack Credit Card', 'Best Price Save Smart Credit Card', 'All Miles Credit Card']","['home loan', 'health loan']","['senior health insurance', 'health insurance']","['no minimum balance', 'securities account']"
C10020,Male,50-59,53,Ugandan,Silver,9,Nansana,Wakiso,1,1,Married,2,Lawyer,Senior Legal Advisor,0,0,0,1,1,0,2176941,836,2,2,18,3,30,1,Bills,Groceries,Home,24,18,18,50726,41836,34583,56,139379,258469,871433,873755,8,16,5,"['MoneyBack Credit Card', 'Freedom Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card']",['health loan'],"['medical insurance', 'retirement insurance', 'travel insurance']","['savings account', 'securities account']"
C10021,Male,<20,19,Ugandan,Silver,11,Mbarara,Mbarara,0,0,Single,0,Lawyer,Law Student,0,0,0,0,1,0,38101,368,2,1,9,2,3,2,Dining,Domestic Airlines,Ecommerce,9,6,6,36470,25692,25142,19,72262,464378,19235,473025,4,7,1,"['Best Price Save Max Credit Card', 'EasyEMI Card', 'MoneyBack Credit Card', 'All Miles Credit Card']","['student loan', 'education loan']","['travel insurance', 'education insurance']",['term account']
C10022,Female,40-49,40,Ugandan,Silver,9,Nansana,Wakiso,1,1,Married,2,Lawyer,Private Practice,1,1,1,1,1,0,2587093,608,15,9,30,27,24,3,Travel,Domestic Airlines,Bills,27,18,18,72173,37423,24802,108,130764,323909,299623,689320,10,15,11,"['Best Price Save Smart Credit Card', 'Freedom Credit Card', 'MoneyBack Credit Card', 'All Miles Credit Card']","['home loan', 'furniture loan']","['travel insurance', 'health insurance']","['term account', 'salary account', 'securities account']"
C10023,Male,30-39,36,Ugandan,Silver,10,Ssabagabo,Wakiso,1,0,Married,0,Lawyer,Clerkship,0,1,1,1,1,0,2026217,798,1,21,24,24,15,3,Groceries,Utilities,Hobby,27,15,6,54383,41944,21488,88,418115,447560,671073,698024,9,19,9,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card', 'MoneyBack Credit Card', 'All Miles Credit Card']","['furniture loan', 'car loan']","['travel insurance', 'device cover insurance']","['savings account', 'salary account']"
C10024,Male,30-39,39,Ugandan,Gold,14,Masindi,Masindi,0,1,Married,0,Lawyer,Clerkship,0,0,1,1,0,0,1818027,765,3,3,3,27,30,2,Utilities,Uber,Hobby,24,15,6,313169,266860,64682,68,483257,805498,118678,328891,9,11,6,"['Total BankBuddy Bank Credit Card', 'Emirates BankBuddy Bank Select Titanium', 'Emirates BankBuddy Bank Platinum', 'Walmart BankBuddy Signature']",['car loan'],['device cover insurance'],"['salary account', 'fixed deposit']"
C10025,Male,50-59,54,Ugandan,Silver,10,Mukono Town,Mukono,0,0,Widowed,3,Lawyer,Judge,0,0,0,1,1,0,2274335,503,1,3,21,2,18,2,Groceries,Dining,Domestic Airlines,24,18,6,92379,67504,30552,47,257761,436891,333956,382925,5,18,4,"['Best Price Save Smart Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card', 'MoneyBack Credit Card']","['home loan', 'health loan']","['medical insurance', 'senior health insurance', 'health insurance']","['savings account', 'salary account']"
C10026,Female,30-39,30,Ugandan,Gold,1,Njeru,Buikwe,0,0,Single,3,Lawyer,Advocate of High Court,0,0,0,1,0,0,4039746,688,2,3,2,2,27,1,Travel,Home,Airlines,30,12,9,853670,326105,188974,37,1071366,1458896,1125282,1164440,8,19,3,"['Emirates BankBuddy Bank Select Titanium', 'SouthWest BankBuddy Bank Credit Card', 'Bankbuddy Women Credit Card', 'Uber BankBuddy Credit Card', 'Total BankBuddy Bank Credit Card']","['home loan', 'car loan']","['device cover insurance', 'health insurance']","['savings account', 'securities account']"
C10027,Male,20-29,24,Ugandan,Silver,9,Lira,Lira,0,1,Married,0,Lawyer,Clerkship,0,0,1,1,0,0,1920873,711,1,1,3,9,9,2,Gym,Travel,Fuel,15,15,15,96328,66601,54137,25,126010,443407,227773,856975,3,18,2,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'MoneyBack Credit Card', 'All Miles Credit Card']","['home loan', 'education loan']","['travel insurance', 'education insurance']","['salary account', 'securities account']"
C10028,Male,30-39,38,Ugandan,Silver,9,Gulu,Gulu,0,0,Single,3,Lawyer,Internship Legal Officer,1,0,1,1,1,0,1000019,644,12,1,24,30,27,1,Entertainment,Utilities,Golf,18,9,6,56316,44156,41724,95,120575,412600,823576,965341,7,14,10,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'MoneyBack Credit Card', 'All Miles Credit Card']","['construction loan', 'furniture loan']","['travel insurance', 'health insurance']","['savings account', 'salary account']"
C10029,Male,<20,19,Ugandan,Silver,0,Mbale,Mbale,1,0,Single,0,Lawyer,Law Student,0,0,1,0,0,0,29603,685,2,2,2,6,1,3,Train,Dining,Travel,15,15,6,37060,34117,16841,16,14799,359289,21790,454431,4,6,0,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card', 'All Miles Credit Card']","['student loan', 'laptop loan']",['device cover insurance'],['savings account']
C10030,Male,>60,66,Ugandan,Silver,0,Nansana,Wakiso,1,1,Widowed,0,Lawyer,C-Level Executive,0,0,1,0,0,0,2684288,510,3,2,1,27,3,3,Groceries,Dining,Entertainment,15,9,6,93117,36364,23910,39,211586,447240,596541,713996,6,18,3,"['MoneyBack Credit Card', 'Freedom Credit Card', 'EasyEMI Card']","['home loan', 'health loan']",['senior health insurance'],"['savings account', 'fixed deposit']"
C10031,Male,50-59,54,Ugandan,Gold,10,Njeru,Buikwe,0,1,Widowed,2,Lawyer,Partner,0,0,1,0,0,1,3245464,714,3,2,3,24,2,12,International Airlines,Golf,Travel,21,18,18,574967,166984,94294,46,1258384,1372179,153786,1028558,10,13,4,"['Emirates BankBuddy Bank Select Titanium', 'SouthWest BankBuddy Bank Credit Card', 'Bankbuddy Women Credit Card', 'Emirates BankBuddy Bank Platinum', 'Total BankBuddy Bank Credit Card']","['car loan', 'health loan']","['medical insurance', 'retirement insurance', 'health insurance']","['savings account', 'salary account']"
C10032,Male,40-49,44,Ugandan,Silver,10,Mityana,Mityana,1,1,Married,0,Lawyer,Corporate,0,0,0,1,1,0,2439307,848,3,2,27,2,12,2,Travel,Bills,Golf,27,24,6,52258,36116,33525,48,495935,499481,660203,894420,5,18,4,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card', 'MoneyBack Credit Card', 'Best Price Save Smart Credit Card', 'All Miles Credit Card']","['home loan', 'furniture loan', 'health loan']",['travel insurance'],"['savings account', 'salary account', 'securities account']"
C10033,Male,>60,63,Ugandan,Silver,10,Gulu,Gulu,1,1,Widowed,3,Lawyer,Partner,0,0,1,1,1,0,2030670,705,1,3,15,12,18,3,Home,Dining,Golf,18,12,9,59980,55144,41914,52,127674,285870,640301,709157,6,19,5,"['Best Price Save Smart Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card', 'MoneyBack Credit Card']",['health loan'],"['medical insurance', 'senior health insurance']","['savings account', 'fixed deposit', 'securities account']"
C10034,Female,40-49,42,Ugandan,Silver,10,Masaka,Masaka,1,0,Single,0,Lawyer,Advocate of High Court,0,0,0,1,0,0,1507361,676,3,1,1,3,24,2,Travel,Domestic Airlines,Home,18,9,9,68921,54030,43721,34,162639,225886,705870,888247,5,12,2,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card', 'MoneyBack Credit Card', 'All Miles Credit Card']","['home loan', 'car loan', 'health loan']","['medical insurance', 'health insurance']","['savings account', 'securities account']"
C10035,Male,30-39,38,Ugandan,Silver,9,Kampala,Kampala,0,1,Single,1,Lawyer,Advocate of High Court,0,0,1,1,0,0,1938613,686,2,3,1,27,21,2,Travel,Domestic Airlines,Utilities,27,27,6,94028,46119,38518,56,81121,176550,102981,594205,8,13,5,"['Best Price Save Smart Credit Card', 'Best Price Save Max Credit Card', 'MoneyBack Credit Card']","['home loan', 'car loan']","['device cover insurance', 'maternity insurance']","['savings account', 'fixed deposit']"
C10036,Male,30-39,30,Ugandan,Silver,10,Mbale,Mbale,0,0,Married,0,Lawyer,Advocate of High Court,0,0,1,1,1,0,1226563,739,3,3,27,15,12,1,Bills,Travel,Home,30,18,6,69967,57047,49738,61,137801,444087,597411,733591,9,15,6,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'MoneyBack Credit Card', 'EasyEMI Card']","['home loan', 'car loan']","['travel insurance', 'maternity insurance']","['savings account', 'fixed deposit']"
C10037,Male,40-49,40,Ugandan,Gold,9,Gulu,Gulu,1,0,Divorced,1,Lawyer,Advocate of High Court,0,0,0,1,1,1,3809685,649,1,3,9,2,24,30,Entertainment,Utilities,Airlines,18,12,6,538727,375792,66860,69,655384,694659,1232409,1457869,5,19,7,"['Total BankBuddy Bank Credit Card', 'Emirates BankBuddy Bank Platinum', 'Costco BankBuddy Credit Card', 'Uber BankBuddy Credit Card']","['car loan', 'home loan', 'furniture loan']","['medical insurance', 'health insurance']","['savings account', 'salary account', 'securities account']"
C10038,Female,<20,19,Ugandan,Silver,13,Lira,Lira,1,0,Single,0,Lawyer,Law Student,0,0,0,1,0,0,16886,187,2,1,2,3,12,2,Domestic Airlines,Travel,Dining,15,9,6,49609,37702,19102,22,60677,260580,7708,470351,1,7,1,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'MoneyBack Credit Card', 'Best Price Save Smart Credit Card', 'All Miles Credit Card']","['student loan', 'education loan']","['travel insurance', 'education insurance']","['term account', 'no minimum balance account']"
C10039,Male,50-59,57,Ugandan,Silver,10,Lira,Lira,0,0,Widowed,0,Lawyer,Junior Partner,0,0,1,0,1,0,1112731,651,2,3,15,30,1,2,Home,Golf,Entertainment,27,27,15,56569,53201,47028,53,85628,359447,259249,395888,6,19,5,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card', 'Best Price Save Smart Credit Card', 'All Miles Credit Card']","['car loan', 'health loan']","['medical insurance', 'health insurance']","['savings account', 'securities account']"
C10040,Male,<20,19,Ugandan,Silver,9,Mubende,Mubende,0,0,Single,0,Lawyer,Law Student,0,0,1,1,0,0,28771,130,3,3,3,15,6,2,Ecommerce,Entertainment,Travel,12,6,6,30255,25825,19054,32,17355,41908,18862,130868,5,7,2,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'MoneyBack Credit Card', 'EasyEMI Card']","['student loan', 'education loan']","['device cover insurance', 'education insurance']","['savings account', 'term account']"
C10041,Male,30-39,36,Ugandan,Silver,14,Mityana,Mityana,1,1,Divorced,1,Lawyer,Internship Legal Officer,0,0,1,0,1,0,1205513,749,1,3,24,15,1,3,Entertainment,Utilities,Domestic Airlines,18,9,9,55897,33318,31458,47,487598,495165,245002,264830,6,15,4,"['Best Price Save Smart Credit Card', 'Freedom Credit Card', 'Best Price Save Max Credit Card']",['car loan'],"['travel insurance', 'maternity insurance']","['savings account', 'salary account']"
C10042,Male,40-49,43,Ugandan,Silver,9,Hoima,Hoima,0,1,Married,2,Lawyer,Corporate,0,0,0,0,1,1,2462359,827,1,1,27,2,3,24,Golf,Bills,Utilities,21,18,6,94342,30101,29698,58,342835,423119,555652,881434,7,12,5,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'MoneyBack Credit Card', 'All Miles Credit Card']",['home loan'],['health insurance'],"['savings account', 'salary account', 'securities account']"
C10043,Female,>60,70,Ugandan,Gold,7,Masindi,Masindi,1,1,Widowed,2,Lawyer,C-Level Executive,0,1,0,1,0,1,3524809,932,2,15,2,2,15,15,Hobby,Bills,Home,27,27,9,214988,60069,52556,51,911802,1176098,253866,930467,6,16,5,"['Emirates BankBuddy Bank Select Titanium', 'SouthWest BankBuddy Bank Credit Card', 'Uber BankBuddy Credit Card', 'Emirates BankBuddy Bank Platinum', 'Total BankBuddy Bank Credit Card']",['health loan'],['medical insurance'],"['savings account', 'no minimum balance']"
C10044,Male,40-49,41,Ugandan,Wealth,5,Nansana,Wakiso,1,0,Married,1,Lawyer,Private Practice,0,0,0,1,0,0,3936219,676,3,1,1,1,15,1,Dining,Hobby,Entertainment,27,21,9,866739,454286,165885,22,1457281,1473963,273653,1153497,8,16,1,"['Infinite Credit Card', 'Diners Club Black Credit Card', 'Superia Credit Card']","['car loan', 'health loan']",['medical insurance'],['securities account']
C10045,Male,>60,65,Ugandan,Silver,1,Lira,Lira,1,1,Widowed,3,Lawyer,Public Service,0,0,1,1,1,0,1989514,699,3,2,27,18,30,1,Home,Bills,Dining,24,21,18,61527,54518,20216,81,135055,299486,302749,704549,5,16,8,"['Best Price Save Smart Credit Card', 'MoneyBack Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card']",['home loan'],['medical insurance'],['savings account']
C10046,Male,30-39,34,Ugandan,Silver,7,Gulu,Gulu,1,1,Married,2,Lawyer,Internship Legal Officer,0,0,1,1,1,0,2410743,586,1,1,27,18,24,2,Home,Golf,Utilities,21,21,18,54098,53918,28012,73,140347,206788,373552,787415,7,16,7,"['Best Price Save Smart Credit Card', 'Freedom Credit Card', 'Best Price Save Max Credit Card', 'MoneyBack Credit Card']","['construction loan', 'car loan']",['travel insurance'],"['salary account', 'securities account']"
C10047,Female,<20,18,Ugandan,Silver,0,Kira Town,Wakiso,0,1,Single,0,Lawyer,Law Student,0,0,1,0,1,0,45510,351,3,2,9,6,3,3,Travel,Entertainment,Domestic Airlines,9,6,3,39150,29372,21586,26,88168,379551,59224,232231,4,10,1,"['Best Price Save Smart Credit Card', 'MoneyBack Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card']","['student loan', 'education loan']",['education insurance'],"['savings account', 'term account']"
C10048,Female,30-39,30,Ugandan,Silver,6,Njeru,Buikwe,0,1,Married,2,Lawyer,Advocate of High Court,0,0,1,1,1,0,1985376,745,1,3,24,27,18,1,Groceries,Home,Domestic Airlines,15,9,9,94446,72562,23189,74,375228,393789,361081,424231,5,20,7,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'MoneyBack Credit Card', 'Best Price Save Smart Credit Card', 'All Miles Credit Card']","['construction loan', 'home loan', 'furniture loan']","['device cover insurance', 'maternity insurance']","['savings account', 'salary account', 'securities account']"
C10049,Male,40-49,45,Ugandan,Silver,14,Mukono Town,Mukono,1,0,Married,1,Lawyer,Self Employed,0,0,0,1,0,0,1598867,526,2,1,2,1,21,1,Travel,Bills,Domestic Airlines,24,12,12,90721,65334,30560,28,413166,446345,91342,789884,6,12,2,"['Best Price Save Smart Credit Card', 'Best Price Save Max Credit Card', 'MoneyBack Credit Card', 'EasyEMI Card']",['home loan'],"['travel insurance', 'health insurance']","['term account', 'fixed deposit', 'securities account']"
C10050,Male,30-39,34,Ugandan,Gold,15,Hoima,Hoima,1,1,Divorced,3,Lawyer,Clerkship,0,0,1,1,0,0,2599995,895,2,2,2,18,24,3,Groceries,Uber,International Airlines,30,30,24,957765,385214,108713,51,101474,942379,495718,868842,5,13,4,"['Emirates BankBuddy Bank Platinum', 'Total BankBuddy Bank Credit Card', 'Costco BankBuddy Credit Card', 'Uber BankBuddy Credit Card']","['construction loan', 'home loan']","['travel insurance', 'maternity insurance']","['term account', 'salary account', 'fixed deposit']"
C10051,Male,<20,17,Ugandan,Silver,9,Mukono Town,Mukono,0,0,Single,0,Lawyer,Law Student,0,0,0,0,1,0,30652,540,3,2,3,1,2,2,Entertainment,Domestic Airlines,Train,12,6,3,45146,37211,18707,13,64011,274773,83098,496790,2,7,0,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card']","['laptop loan', 'education loan', 'student loan']",['education insurance'],['term account']
C10052,Male,<20,17,Ugandan,Silver,9,Mukono Town,Mukono,0,0,Single,0,Lawyer,Law Student,1,0,0,1,1,0,1110,215,9,1,15,2,3,2,Dining,Domestic Airlines,Travel,12,9,6,37048,35446,30594,32,39117,122470,38198,340335,4,7,3,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'MoneyBack Credit Card']","['student loan', 'laptop loan']",['education insurance'],['savings account']
C10053,Female,>60,61,Ugandan,Silver,1,Nansana,Wakiso,0,0,Married,1,Lawyer,Magistrate Grade,0,0,0,1,0,0,1483509,764,2,1,3,1,15,1,Entertainment,Dining,Utilities,27,15,9,80319,35636,30353,23,120807,478461,164861,198649,5,15,1,"['Best Price Save Smart Credit Card', 'Freedom Credit Card', 'Best Price Save Max Credit Card', 'MoneyBack Credit Card']",['health loan'],"['senior health insurance', 'health insurance']","['no minimum balance', 'fixed deposit']"
